22:57:40.939 INFO   - MainWindow::setupAfterLoadNewDocument file=/home/michal/WinISD/drivers/214x215.jpg message=File imported importType=0
22:57:40.939 INFO   - DigitizeStateContext::resetOnLoad
22:57:40.940 INFO   - DocumentModelColorFilter::DocumentModelColorFilter
22:57:40.940 INFO   - BackgroundStateContext::setCurveSelected curve=
22:57:40.940 INFO   - BackgroundStateCurve::setCurveSelected curve=
22:57:40.940 INFO   - BackgroundStateCurve::processImageFromSavedInputs
22:57:40.940 INFO   - BackgroundStateAbstractBase::setProcessedPixmap map=(0x0)
22:57:40.940 INFO   - BackgroundStateNone::setCurveSelected
22:57:40.940 INFO   - BackgroundStateOriginal::setCurveSelected
22:57:40.940 INFO   - BackgroundStateUnloaded::setCurveSelected
22:57:40.941 INFO   - Document::curvesGraphsNames
22:57:40.941 INFO   - CoordSystemContext::curvesGraphsNames
22:57:40.941 INFO   - MainWindow::setPixmap
22:57:40.941 INFO   - DigitizeStateContext::setImageIsLoaded
22:57:40.941 INFO   - DigitizeStateContext::setCursor
22:57:40.941 INFO   - DocumentModelColorFilter::DocumentModelColorFilter
22:57:40.941 INFO   - BackgroundStateContext::setPixmap image=756x432 currentState=BackgroundStateOriginal
22:57:40.942 INFO   - BackgroundStateCurve::setPixmap
22:57:40.942 INFO   - BackgroundStateCurve::processImageFromSavedInputs
22:57:40.944 INFO   - DocumentModelColorFilter::high curve=Curve1 curves=Curve1,Axes
22:57:40.944 INFO   - DocumentModelColorFilter::low curve=Curve1 curves=Curve1,Axes
22:57:41.181 INFO   - GridRemoval::remove transformationIsDefined=false removeDefinedGridLines=false
22:57:41.181 INFO   - BackgroundStateAbstractBase::setProcessedPixmap map=(756x432)
22:57:41.181 INFO   - BackgroundStateNone::setPixmap
22:57:41.184 INFO   - BackgroundStateAbstractBase::setProcessedPixmap map=(756x432)
22:57:41.185 INFO   - BackgroundStateOriginal::setPixmap
22:57:41.185 INFO   - BackgroundStateAbstractBase::setProcessedPixmap map=(756x432)
22:57:41.185 INFO   - BackgroundStateUnloaded::setPixmap
22:57:41.185 INFO   - Transformation::resetOnLoad
22:57:41.185 INFO   - TransformationStateContext::resetOnLoad
22:57:41.185 INFO   - GraphicsLinesForCurves::resetOnLoad
